# Copyright (C) 1991-2011 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 32-bit Version 11.1 Build 216 11/23/2011 Service Pack 1 SJ Web Edition
# File: D:\PROJECTS\QUARTUS\digse1_double_dabble_time\standard_pins_DE0_board.csv
# Generated on: Wed Mar 07 19:14:02 2012

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Differential Pair,Slew Rate
BUTTON[3],Input,PIN_U29,1,B1_N0,,,,,
BUTTON[2],Input,PIN_U30,1,B1_N0,,,,,
BUTTON[1],Input,PIN_T28,1,B1_N0,,,,,
BUTTON[0],Input,PIN_T29,1,B1_N1,,,,,
CLOCK_50,Input,PIN_AD15,6,B6_N1,,,,,
HEX0_D[6],Output,PIN_AD12,7,B7_N1,,,,,
HEX0_D[5],Output,PIN_AD11,7,B7_N1,,,,,
HEX0_D[4],Output,PIN_AF10,7,B7_N1,,,,,
HEX0_D[3],Output,PIN_AD10,7,B7_N1,,,,,
HEX0_D[2],Output,PIN_AH9,7,B7_N1,,,,,
HEX0_D[1],Output,PIN_AF9,7,B7_N1,,,,,
HEX0_D[0],Output,PIN_AE8,7,B7_N1,,,,,
HEX0_DP,Output,PIN_AF12,7,B7_N1,,,,,
HEX1_D[6],Output,PIN_Ad17,7,B7_N1,,,,,
HEX1_D[5],Output,PIN_AF17,7,B7_N1,,,,,
HEX1_D[4],Output,PIN_AE17,7,B7_N1,,,,,
HEX1_D[3],Output,PIN_AG16,7,B7_N1,,,,,
HEX1_D[2],Output,PIN_AF16,7,B7_N1,,,,,
HEX1_D[1],Output,PIN_AE16,7,B7_N1,,,,,
HEX1_D[0],Output,PIN_AG13,7,B7_N1,,,,,
HEX1_DP,Output,PIN_AC17,7,B7_N1,,,,,
HEX2_D[6],Output,PIN_AE19,7,B7_N0,,,,,
HEX2_D[5],Output,PIN_AB19,7,B7_N1,,,,,
HEX2_D[4],Output,PIN_AB18,7,B7_N1,,,,,
HEX2_D[3],Output,PIN_AG4,7,B7_N0,,,,,
HEX2_D[2],Output,PIN_AH5,7,B7_N1,,,,,
HEX2_D[1],Output,PIN_AF7,7,B7_N1,,,,,
HEX2_D[0],Output,PIN_AE7,7,B7_N0,,,,,
HEX2_DP,Output,PIN_AC19,7,B7_N0,,,,,
HEX3_D[6],Output,PIN_M6,7,B7_N0,,,,,
HEX3_D[5],Output,PIN_M7,7,B7_N0,,,,,
HEX3_D[4],Output,PIN_M8,7,B7_N0,,,,,
HEX3_D[3],Output,PIN_N7,7,B7_N0,,,,,
HEX3_D[2],Output,PIN_N10,7,B7_N0,,,,,
HEX3_D[1],Output,PIN_P4,7,B7_N0,,,,,
HEX3_D[0],Output,PIN_P6,7,B7_N0,,,,,
HEX3_DP,Output,PIN_M4,7,B7_N0,,,,,
LEDG[8],Output,PIN_AC14,1,B1_N0,,,,,
LEDG[7],Output,PIN_AA24,1,B1_N0,,,,,
LEDG[6],Output,PIN_AA27,1,B1_N0,,,,,
LEDG[5],Output,PIN_Y23,1,B1_N0,,,,,
LEDG[4],Output,PIN_Y24,1,B1_N0,,,,,
LEDG[3],Output,PIN_Y27,1,B1_N1,,,,,
LEDG[2],Output,PIN_W23,1,B1_N1,,,,,
LEDG[1],Output,PIN_W25,1,B1_N1,,,,,
LEDG[0],Output,PIN_W27,1,B1_N1,,,,,
SW[0],Input,PIN_AA23,1,B1_N0,,,,,
SW[1],Input,PIN_AB26,1,B1_N0,,,,,
SW[2],Input,PIN_AB25,1,B1_N0,,,,,
SW[3],Input,PIN_AC27,1,B1_N0,,,,,
SW[4],Input,PIN_AC26,1,B1_N1,,,,,
SW[5],Input,PIN_AC24,1,B1_N0,,,,,
SW[6],Input,PIN_AC23,1,B1_N0,,,,,
SW[7],Input,PIN_AD25,1,B1_N0,,,,,
SW[8],Input,PIN_AD24,1,B1_N0,,,,,
SW[9],Input,PIN_AE27,1,B1_N0,,,,,
SW[10],Input,PIN_W5,1,B1_N0,,,,,
SW[11],Input,PIN_V10,1,B1_N0,,,,,
SW[12],Input,PIN_U9,1,B1_N0,,,,,
SW[13],Input,PIN_T9,1,B1_N0,,,,,
SW[14],Input,PIN_L5,1,B1_N0,,,,,
SW[15],Input,PIN_L4,1,B1_N0,,,,,
SW[16],Input,PIN_L7,1,B1_N0,,,,,
SW[17],Input,PIN_L8,1,B1_N0,,,,,
HEX4_D[6],Output,PIN_M2,7,B7_N0,,,,,
HEX4_D[5],Output,PIN_M1,7,B7_N0,,,,,
HEX4_D[4],Output,PIN_N3,7,B7_N0,,,,,
HEX4_D[3],Output,PIN_N2,7,B7_N0,,,,,
HEX4_D[2],Output,PIN_P3,7,B7_N0,,,,,
HEX4_D[1],Output,PIN_P2,7,B7_N0,,,,,
HEX4_D[0],Output,PIN_P1,7,B7_N0,,,,,
HEX4_DP,Output,PIN_L6,7,B7_N0,,,,,
HEX5_D[6],Output,PIN_K5,7,B7_N0,,,,,
HEX5_D[5],Output,PIN_K4,7,B7_N0,,,,,
HEX5_D[4],Output,PIN_K1,7,B7_N0,,,,,
HEX5_D[3],Output,PIN_L3,7,B7_N0,,,,,
HEX5_D[2],Output,PIN_L2,7,B7_N0,,,,,
HEX5_D[1],Output,PIN_L1,7,B7_N0,,,,,
HEX5_D[0],Output,PIN_M3,7,B7_N0,,,,,
HEX5_DP,Output,PIN_K6,7,B7_N0,,,,,
HEX6_D[6],Output,PIN_E4,7,B7_N0,,,,,
HEX6_D[5],Output,PIN_F4,7,B7_N0,,,,,
HEX6_D[4],Output,PIN_G4,7,B7_N0,,,,,
HEX6_D[3],Output,PIN_H8,7,B7_N0,,,,,
HEX6_D[2],Output,PIN_H7,7,B7_N0,,,,,
HEX6_D[1],Output,PIN_H4,7,B7_N0,,,,,
HEX6_D[0],Output,PIN_H6,7,B7_N0,,,,,
HEX6_DP,Output,PIN_K2,7,B7_N0,,,,,
HEX7_D[6],Output,PIN_G1,7,B7_N0,,,,,
HEX7_D[5],Output,PIN_H3,7,B7_N0,,,,,
HEX7_D[4],Output,PIN_H2,7,B7_N0,,,,,
HEX7_D[3],Output,PIN_H1,7,B7_N0,,,,,
HEX7_D[2],Output,PIN_J2,7,B7_N0,,,,,
HEX7_D[1],Output,PIN_J1,7,B7_N0,,,,,
HEX7_D[0],Output,PIN_K3,7,B7_N0,,,,,
HEX7_DP,Output,PIN_G2,7,B7_N0,,,,,
hall_sens,Output,PIN_G30,7,B7_N0,,,,,
LEDR[0],Output,PIN_AJ6,1,B1_N1,,,,,
LEDR[1],Output,PIN_AK5,1,B1_N1,,,,,
LEDR[2],Output,PIN_AJ5,1,B1_N1,,,,,
LEDR[3],Output,PIN_AJ4,1,B1_N1,,,,,
LEDR[4],Output,PIN_AK3,1,B1_N0,,,,,
LEDR[5],Output,PIN_AH4,1,B1_N0,,,,,
LEDR[6],Output,PIN_AJ3,1,B1_N0,,,,,
LEDR[7],Output,PIN_AJ2,1,B1_N0,,,,,
LEDR[8],Output,PIN_AH3,1,B1_N0,,,,,
LEDR[9],Output,PIN_AD14,1,B1_N0,,,,,
LCD_DATA[0],Bidir,PIN_D29,6,B6_N0,,,,,
LCD_DATA[1],Bidir,PIN_E27,6,B6_N0,,,,,
LCD_DATA[2],Bidir,PIN_D28,6,B6_N0,,,,,
LCD_DATA[3],Bidir,PIN_E29,6,B6_N0,,,,,
LCD_DATA[4],Bidir,PIN_G25,6,B6_N0,,,,,
LCD_DATA[5],Bidir,PIN_E30,6,B6_N0,,,,,
LCD_DATA[6],Bidir,PIN_G26,6,B6_N0,,,,,
LCD_DATA[7],Bidir,PIN_F29,6,B6_N0,,,,,
LCD_RS,OUTPUT,PIN_C30,6,B6_N0,,,,,
LCD_RW,OUTPUT,PIN_C29,6,B6_N0,,,,,
LCD_EN,OUTPUT,PIN_E28,6,B6_N0,,,,,
MOTOR_UP,OUTPUT,PIN_G29,6,B6_N0,,,,,
MOTOR_DOWN,OUTPUT,PIN_F30,6,B6_N0,,,,,
Convstart,UNKNOWN,PIN_H29,6,B6_N0,,,,,
RD,UNKNOWN,PIN_A15,6,B6_N0,,,,,
BUSY,UNKNOWN,PIN_J29,6,B6_N0,,,,,
DB[0],UNKNOWN,PIN_H25,6,B6_N0,,,,,
DB[1],UNKNOWN,PIN_J30,6,B6_N0,,,,,
DB[2],UNKNOWN,PIN_H24,6,B6_N0,,,,,
DB[3],UNKNOWN,PIN_J25,6,B6_N0,,,,,
DB[4],UNKNOWN,PIN_K24,6,B6_N0,,,,,
DB[5],UNKNOWN,PIN_J24,6,B6_N0,,,,,
DB[6],UNKNOWN,PIN_K25,6,B6_N0,,,,,
DB[7],UNKNOWN,PIN_L22,6,B6_N0,,,,,
KNOP[1],INPUT,PIN_L21,6,B6_N0,,,,,
KNOP[2],INPUT,PIN_M22,6,B6_N0,,,,,
KNOP[3],INPUT,PIN_N22,6,B6_N0,,,,,
KNOP[4],INPUT,PIN_N25,6,B6_N0,,,,,
KNOP[5],INPUT,PIN_N21,6,B6_N0,,,,,
KNOP[6],INPUT,PIN_N24,6,B6_N0,,,,,
